#,category,chars,approx,glm_real,glm_err,glm_pct,dsv_real,dsv_err,dsv_pct,kimi_real,kimi_err,kimi_pct,mmax_real,mmax_err,mmax_pct
207,mixed,230,144,79,65,82.28,79,65,82.28,76,68,89.47,79,65,82.28
208,code_js,806,204,272,-68,-25.0,276,-72,-26.09,270,-66,-24.44,316,-112,-35.44
209,code_py,396,99,114,-15,-13.16,116,-17,-14.66,118,-19,-16.1,134,-35,-26.12
210,numeric,41,10,30,-20,-66.67,26,-16,-61.54,29,-19,-65.52,31,-21,-67.74
211,mixed,244,146,85,61,71.76,84,62,73.81,80,66,82.5,85,61,71.76
212,pure_english,247,62,39,23,58.97,36,26,72.22,37,25,67.57,35,27,77.14
213,numeric,166,42,46,-4,-8.7,48,-6,-12.5,46,-4,-8.7,46,-4,-8.7
214,markdown,314,112,121,-9,-7.44,123,-11,-8.94,114,-2,-1.75,130,-18,-13.85
215,chat_en,190,48,48,0,0.0,49,-1,-2.04,47,1,2.13,48,0,0.0
216,mixed,230,58,33,25,75.76,32,26,81.25,33,25,75.76,32,26,81.25
217,code_py,664,166,158,8,5.06,178,-12,-6.74,164,2,1.22,206,-40,-19.42
218,pure_chinese,109,109,55,54,98.18,53,56,105.66,49,60,122.45,56,53,94.64
219,markdown,314,112,121,-9,-7.44,123,-11,-8.94,114,-2,-1.75,130,-18,-13.85
220,mixed,172,70,37,33,89.19,38,32,84.21,37,33,89.19,38,32,84.21
221,chat_en,200,50,49,1,2.04,50,0,0.0,48,2,4.17,51,-1,-1.96
222,code_js,403,102,136,-34,-25.0,138,-36,-26.09,135,-33,-24.44,158,-56,-35.44
223,pure_chinese,112,112,59,53,89.83,58,54,93.1,54,58,107.41,59,53,89.83
224,numeric,144,36,96,-60,-62.5,67,-31,-46.27,67,-31,-46.27,73,-37,-50.68
225,chat_zh,35,35,19,16,84.21,18,17,94.44,17,18,105.88,18,17,94.44
226,chat_zh,42,42,23,19,82.61,22,20,90.91,20,22,110.0,22,20,90.91
227,pure_chinese,32,32,21,11,52.38,21,11,52.38,17,15,88.24,21,11,52.38
228,chat_en,133,33,34,-1,-2.94,34,-1,-2.94,32,1,3.12,34,-1,-2.94
229,pure_chinese,75,75,39,36,92.31,39,36,92.31,36,39,108.33,40,35,87.5
230,mixed,73,72,38,34,89.47,39,33,84.62,37,35,94.59,38,34,89.47
231,code_js,806,204,272,-68,-25.0,276,-72,-26.09,270,-66,-24.44,316,-112,-35.44
232,numeric,82,20,60,-40,-66.67,52,-32,-61.54,58,-38,-65.52,61,-41,-67.21
233,chat_en,162,40,42,-2,-4.76,43,-3,-6.98,42,-2,-4.76,43,-3,-6.98
234,code_py,341,85,76,9,11.84,79,6,7.59,76,9,11.84,100,-15,-15.0
235,chat_zh,36,36,21,15,71.43,21,15,71.43,21,15,71.43,21,15,71.43
236,mixed,355,116,69,47,68.12,66,50,75.76,67,49,73.13,66,50,75.76
237,code_py,283,71,90,-19,-21.11,93,-22,-23.66,90,-19,-21.11,106,-35,-33.02
238,chat_en,93,23,25,-2,-8.0,25,-2,-8.0,24,-1,-4.17,25,-2,-8.0
239,chat_zh,30,30,17,13,76.47,17,13,76.47,15,15,100.0,17,13,76.47
240,pure_english,123,31,18,13,72.22,18,13,72.22,19,12,63.16,19,12,63.16
241,markdown,314,112,121,-9,-7.44,123,-11,-8.94,114,-2,-1.75,130,-18,-13.85
242,pure_chinese,37,37,20,17,85.0,20,17,85.0,17,20,117.65,21,16,76.19
